full_path,filename,new_name,extension
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 01[ESP-ENG][720p][199CBD93].mkv,[PuyaSubs!] 86 - Eighty Six - 01[ESP-ENG][720p][199CBD93].mkv,86 - Eighty Six - 01,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 02 [ESP-ENG][720p][7BD5A1E9].mkv,[PuyaSubs!] 86 - Eighty Six - 02 [ESP-ENG][720p][7BD5A1E9].mkv,86 - Eighty Six - 02,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 03 [ESP-ENG][720p][70ACE01].mkv,[PuyaSubs!] 86 - Eighty Six - 03 [ESP-ENG][720p][70ACE01].mkv,86 - Eighty Six - 03,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 04 [ESP-ENG][720p][7E7D2506].mkv,[PuyaSubs!] 86 - Eighty Six - 04 [ESP-ENG][720p][7E7D2506].mkv,86 - Eighty Six - 04,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 05 [ESP-ENG][720p][22732C1A].mkv,[PuyaSubs!] 86 - Eighty Six - 05 [ESP-ENG][720p][22732C1A].mkv,86 - Eighty Six - 05,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 06 [ESP-ENG][720p][348A6568].mkv,[PuyaSubs!] 86 - Eighty Six - 06 [ESP-ENG][720p][348A6568].mkv,86 - Eighty Six - 06,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 07 [ESP-ENG][720p][83019B58].mkv,[PuyaSubs!] 86 - Eighty Six - 07 [ESP-ENG][720p][83019B58].mkv,86 - Eighty Six - 07,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 08 [ESP-ENG][720p][99E5EE26].mkv,[PuyaSubs!] 86 - Eighty Six - 08 [ESP-ENG][720p][99E5EE26].mkv,86 - Eighty Six - 08,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 09 [ESP-ENG][720p][5D183C16].mkv,[PuyaSubs!] 86 - Eighty Six - 09 [ESP-ENG][720p][5D183C16].mkv,86 - Eighty Six - 09,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 10 [ESP-ENG][720p][2F06A493].mkv,[PuyaSubs!] 86 - Eighty Six - 10 [ESP-ENG][720p][2F06A493].mkv,86 - Eighty Six - 10,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 11 [ESP-ENG][1080p][A60C6D46].mkv,[PuyaSubs!] 86 - Eighty Six - 11 [ESP-ENG][1080p][A60C6D46].mkv,86 - Eighty Six - 11,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 12 [ESP-ENG][720p][35B49CBF].mkv,[PuyaSubs!] 86 - Eighty Six - 12 [ESP-ENG][720p][35B49CBF].mkv,86 - Eighty Six - 12,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 13 [ESP-ENG][720p][E79460BF].mkv,[PuyaSubs!] 86 - Eighty Six - 13 [ESP-ENG][720p][E79460BF].mkv,86 - Eighty Six - 13,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 14 [ESP-ENG][720p][79DCDFA8].mkv,[PuyaSubs!] 86 - Eighty Six - 14 [ESP-ENG][720p][79DCDFA8].mkv,86 - Eighty Six - 14,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 15 [ESP-ENG][720p][99BD2073].mkv,[PuyaSubs!] 86 - Eighty Six - 15 [ESP-ENG][720p][99BD2073].mkv,86 - Eighty Six - 15,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 16 [ESP-ENG][720p][34E569EE].mkv,[PuyaSubs!] 86 - Eighty Six - 16 [ESP-ENG][720p][34E569EE].mkv,86 - Eighty Six - 16,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 17 [ESP-ENG][720p][2D59A5C5].mkv,[PuyaSubs!] 86 - Eighty Six - 17 [ESP-ENG][720p][2D59A5C5].mkv,86 - Eighty Six - 17,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 18 [ESP-ENG][720p][A517460F].mkv,[PuyaSubs!] 86 - Eighty Six - 18 [ESP-ENG][720p][A517460F].mkv,86 - Eighty Six - 18,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 185 [ESP-ENG][720p][8BD28E0B].mkv,[PuyaSubs!] 86 - Eighty Six - 185 [ESP-ENG][720p][8BD28E0B].mkv,86 - Eighty Six - 18.5,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 19 [ESP-ENG][720p][E377324B].mkv,[PuyaSubs!] 86 - Eighty Six - 19 [ESP-ENG][720p][E377324B].mkv,86 - Eighty Six - 19,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 20 [ESP-ENG][720p][2EFDB093].mkv,[PuyaSubs!] 86 - Eighty Six - 20 [ESP-ENG][720p][2EFDB093].mkv,86 - Eighty Six - 20,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 21 [ESP-ENG][720p][35940B0B].mkv,[PuyaSubs!] 86 - Eighty Six - 21 [ESP-ENG][720p][35940B0B].mkv,86 - Eighty Six - 21,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 22 [ESP-ENG][1080p][08F94F44].mkv,[PuyaSubs!] 86 - Eighty Six - 22 [ESP-ENG][1080p][08F94F44].mkv,86 - Eighty Six - 22,mkv
D:\Mis Cosas\Descargas\86 Eighty Six\[PuyaSubs!] 86 - Eighty Six - 23 [ESP-ENG][720p][EB3D138C].mkv,[PuyaSubs!] 86 - Eighty Six - 23 [ESP-ENG][720p][EB3D138C].mkv,86 - Eighty Six - 23,mkv
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 01 [HD 720p] v2.mp4,[Realidad] Absolute Duo - 01 [HD 720p] v2.mp4,Absolute Duo - 01,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 02 [HD 720p].mp4,[Realidad] Absolute Duo - 02 [HD 720p].mp4,Absolute Duo - 02,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 03 [HD 720p] v2.mp4,[Realidad] Absolute Duo - 03 [HD 720p] v2.mp4,Absolute Duo - 03,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 04 [HD 720p].mp4,[Realidad] Absolute Duo - 04 [HD 720p].mp4,Absolute Duo - 04,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 05 [HD 720p].mp4,[Realidad] Absolute Duo - 05 [HD 720p].mp4,Absolute Duo - 05,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 06 (1280x720).mp4,[Realidad] Absolute Duo - 06 (1280x720).mp4,Absolute Duo - 06,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 07 (1280x720).mp4,[Realidad] Absolute Duo - 07 (1280x720).mp4,Absolute Duo - 07,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 08 [HD 720p].mp4,[Realidad] Absolute Duo - 08 [HD 720p].mp4,Absolute Duo - 08,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 09 [HD 720p].mp4,[Realidad] Absolute Duo - 09 [HD 720p].mp4,Absolute Duo - 09,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 10 [HD 720p].mp4,[Realidad] Absolute Duo - 10 [HD 720p].mp4,Absolute Duo - 10,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 11 [HD 720p].mp4,[Realidad] Absolute Duo - 11 [HD 720p].mp4,Absolute Duo - 11,mp4
D:\Mis Cosas\Descargas\Absolute Duo\[Realidad] Absolute Duo - 12 [HD 720p] END.mp4,[Realidad] Absolute Duo - 12 [HD 720p] END.mp4,Absolute Duo - 12,mp4
D:\Mis Cosas\Descargas\Akagami no Shirayukihime\HD\[Tsubakisubs] Akagami no Shirayukihime (2016) - 12 END (720p).mp4,[Tsubakisubs] Akagami no Shirayukihime (2016) - 12 END (720p).mp4,Akagami no Shirayukihime - 12,mp4
D:\Mis Cosas\Descargas\Akagami no Shirayukihime\HD\[Tsubaki] Akagami no Shirayukihime (2016) - 01 By Julian12100.mp4,[Tsubaki] Akagami no Shirayukihime (2016) - 01 By Julian12100.mp4,Akagami no Shirayukihime - 01,mp4
